,Country Name,Year,Value
414,Mauritania,1988,2.974849939
415,Mauritius,1988,1.855599999
416,Mongolia,1988,22.21582031
417,Mozambique,1988,
418,Myanmar,1988,5.276450157
419,Nepal,1988,5.585730076
420,Netherlands,1988,32.27363968
421,New Zealand,1988,40.09994125
422,Nicaragua,1988,
423,Niger,1988,
424,Nigeria,1988,3.854150057
425,Norway,1988,32.29005814
426,Oman,1988,2.534159899
427,Panama,1988,21.25242996
428,Papua New Guinea,1988,
429,Paraguay,1988,8.125479698
430,Peru,1988,28.18749046
431,Philippines,1988,24.64933014
432,Poland,1988,18.19570923
433,Portugal,1988,
434,Qatar,1988,17.66435051
435,Romania,1988,9.044019699
436,Russian Federation,1988,
437,Rwanda,1988,
438,Saudi Arabia,1988,
439,Senegal,1988,
440,Sierra Leone,1988,
441,Slovenia,1988,
442,Spain,1988,
443,Sri Lanka,1988,
444,St. Kitts and Nevis,1988,
445,St. Lucia,1988,
446,Suriname,1988,
447,Swaziland,1988,
448,Sweden,1988,
449,Switzerland,1988,
450,Syrian Arab Republic,1988,
451,Tanzania,1988,
452,Thailand,1988,
453,Tonga,1988,
454,Trinidad and Tobago,1988,
455,Tunisia,1988,
456,Turkey,1988,
457,Uganda,1988,
458,Ukraine,1988,
459,United Arab Emirates,1988,
460,United Kingdom,1988,
461,United States,1988,
462,"Venezuela, RB",1988,
463,Zimbabwe,1988,
464,Albania,1989,8.149889946
465,Argentina,1989,
466,Australia,1989,32.40879822
467,Austria,1989,30.62068939
468,"Bahamas, The",1989,
469,Bahrain,1989,
470,Bangladesh,1989,3.5609300139999998
471,Barbados,1989,16.81125069
472,Belarus,1989,47.33892059
473,Belgium,1989,36.04117966
474,Benin,1989,2.328530073
475,Botswana,1989,
476,Bulgaria,1989,25.04838943
477,Burkina Faso,1989,0.7544299959999999
478,Burundi,1989,0.742540002
479,Cambodia,1989,0.604759991
480,Cameroon,1989,2.504920006
481,Central African Republic,1989,1.251139998
482,Chad,1989,0.63924998
483,Chile,1989,
484,China,1989,3.0324299339999996
485,Colombia,1989,13.32588959
486,"Congo, Dem. Rep.",1989,2.0467500690000002
487,"Congo, Rep.",1989,4.992300033999999
488,Costa Rica,1989,26.40582085
489,Cote d'Ivoire,1989,
490,Cuba,1989,21.76705933
491,Cyprus,1989,7.934470177000001
492,Czech Republic,1989,16.31851959
493,Denmark,1989,31.87900925
494,Dominica,1989,0.84179002
495,Ecuador,1989,24.79635048
496,"Egypt, Arab Rep.",1989,15.90765953
497,El Salvador,1989,16.89248085
498,Fiji,1989,5.142670155
499,Finland,1989,41.01773071
500,France,1989,34.42588043
501,Greece,1989,24.16452026
502,Guatemala,1989,
503,Guinea,1989,1.3210300209999999
504,Guyana,1989,
505,Honduras,1989,9.276200294
506,Hungary,1989,14.83152962
507,Iceland,1989,23.40426064
508,India,1989,5.759439945
509,Indonesia,1989,7.930920124
510,Iraq,1989,12.26984024
511,Ireland,1989,26.83999062
512,Italy,1989,28.062759399999997
513,Japan,1989,29.51152039
514,Jordan,1989,20.61327934
515,Kenya,1989,1.509439945
516,"Korea, Rep.",1989,35.92066956
517,Kuwait,1989,15.08281994
518,Lao PDR,1989,
519,Latvia,1989,24.04898071
520,Lebanon,1989,
521,Lesotho,1989,1.573549986
522,Libya,1989,
523,Luxembourg,1989,
524,"Macedonia, FYR",1989,18.12252045
525,Madagascar,1989,3.546139956
526,Malawi,1989,0.45460999
527,Malaysia,1989,6.522089958
528,Mali,1989,0.641629994
529,Malta,1989,6.976069927
530,Mauritania,1989,3.1112101080000003
531,Mauritius,1989,1.900329947
532,Mongolia,1989,20.15611076
533,Mozambique,1989,
534,Myanmar,1989,5.172669888
535,Nepal,1989,5.84469986
536,Netherlands,1989,32.80173874
